"November 30 - December 30, 2024"
channel,title,url,view_count,like_count
Ankur Warikoo,Paisa BANAYA jata hai! | Ankur Warikoo #shorts,https://www.youtube.com/shorts/G0wuBlFH7L4,256838,19279
Nischa,2025 Annual Leave guide #shorts #uk,https://www.youtube.com/shorts/iF7ZTmHSBzw,218851,6101
Ankur Warikoo,Can my Children be YOUTUBERS? | Ankur Warikoo #shorts,https://www.youtube.com/shorts/uHfhmnzKGzc,187791,17086
Ankur Warikoo,Zindagi bhar FREE iPhone waali SCHEME! | Ankur Warikoo #shorts,https://www.youtube.com/shorts/-UpFwY__mUQ,148539,12857
Ankur Warikoo,College jana MANDATORY NAHI RAHEGA! | Ankur Warikoo #shorts,https://www.youtube.com/shorts/7E2WU6_Kfbc,105871,8153
Ankur Warikoo,3 LIFE LESSONS for a SUCCESSFUL LIFE! | Ankur Warikoo #shorts,https://www.youtube.com/shorts/syqLCzY6s6U,95922,9751
Legacy Investing Show,5 Tips For Safe Investing ✍🏼,https://www.youtube.com/shorts/31_JLWnsBJ0,18743,701
Steph and Den,"$100,000 net worth 🙏🏿😇 #shorts",https://www.youtube.com/shorts/rZc6hDsxPoo,17412,1098
The Finance Engineer,Health Insurance in America #shorts,https://www.youtube.com/shorts/rNDqZkAz-dI,11174,1064
Legacy Investing Show,Biggest Scams in America,https://www.youtube.com/shorts/HxSBckh07Qg,9946,516
Legacy Investing Show,What I’d Do if I Lost Everything Tomorrow 👊🏻,https://www.youtube.com/shorts/LYinlK5fK5E,8813,362
Erin Talks Money,"401(k) Millionaires - How Many People Have $1,000,000 in Their 401(k) Revealed",https://www.youtube.com/shorts/blKSeQs4tAc,7918,264
Steph and Den,Is the AMEX Cobalt credit card worth it? 👀💳 #shorts,https://www.youtube.com/shorts/jz-MRxF93zs,7818,286
Money Guy Show,Stop Faking It – Everyone's Struggling More Than You Think!,https://www.youtube.com/shorts/dl13zAT44-A,7798,291
Erin Talks Money,"How $1,000,000 Became THE Retirement Goal - Blame the 401(k)",https://www.youtube.com/shorts/A1M8985MAZk,7796,358
Legacy Investing Show,3 game-changing tips for people in their 20s and 30s! 🔥,https://www.youtube.com/shorts/mXbBSdbOErE,7407,484
Steph and Den,Who spent more money?! 👀 #shorts,https://www.youtube.com/shorts/s9_yJ_7b41k,6895,306
Legacy Investing Show,5 Tourists Attractions That Will Keep Airbnb Alive,https://www.youtube.com/shorts/TKOuuINo5SE,6775,145
Steph and Den,"We spent $7,755.52 on groceries 👀 #shorts",https://www.youtube.com/shorts/gppjXmScD6E,6523,254
Money Guy Show,"Before You Refinance, Try THIS Money-Saving Trick!",https://www.youtube.com/shorts/x89Avvbd500,6480,280
Legacy Investing Show,How The IRS Employees Owe MILLIONS 🤯,https://www.youtube.com/shorts/e621fGg5LIY,6184,243
Money Guy Show,Think Your 401(k) is Free? Think Again!,https://www.youtube.com/shorts/6ypbH_Sxll8,5700,216
Legacy Investing Show,How To Pay $0 Tax As A W2 Employee?!,https://www.youtube.com/shorts/Z0XsLIRor7Q,5312,497
Steph and Den,"I spent $2,289.92 on food 😬🤯 #shorts",https://www.youtube.com/shorts/a4z1MLLdwlw,5294,293
Erin Talks Money,Why You Only Need 80% of What Experts Say for Retirement! 💰 | Truth Revealed,https://www.youtube.com/shorts/cmukzQsd2zA,5246,273
Erin Talks Money,Incredibly Safe for Cash! A Smart Place to Keep Your Reserves & Earn Max Interest,https://www.youtube.com/shorts/Bf1Yn176yO8,5122,295
Money Guy Show,Is That Renovation a 'Need' or a 'Want'?,https://www.youtube.com/shorts/NGzTH6UayLU,5119,157
Pranjal Kamra,"#Stocks are great for the long term, but they can be unsafe for tomorrow. - #WarrenBuffett. #shorts",https://www.youtube.com/shorts/Ff5j0HMBkdA,5044,235
Steph and Den,"I invested $75,000 🤯 #shorts",https://www.youtube.com/shorts/ozQCjNvHHYY,4997,261
Pranjal Kamra,Time will come when the excess in the market will correct - Late #RakeshJhunJhunWala ji. #shorts,https://www.youtube.com/shorts/ZCNldk6OCUg,4676,148
Erin Talks Money,Phantom Wealth: Why Is It So Hard To Feel Financially Comfortable Right Now?,https://www.youtube.com/shorts/A7uneEyscZE,4636,214
Money Guy Show,Side Hustle? Here’s How to Supercharge Your Retirement Savings!,https://www.youtube.com/shorts/V0i6ErCU_g0,4574,139
Money Guy Show,How Much Student Debt Is Too Much? Follow This Simple Rule!,https://www.youtube.com/shorts/BZy3wn920pw,4375,135
Legacy Investing Show,How The Wealthy Use Their Money,https://www.youtube.com/shorts/tiJ60WnW2LA,4284,165
Money Guy Show,Feeling Stuck? Here's How Small Choices Lead to Big Wins!,https://www.youtube.com/shorts/aYs_VXnFxCc,4261,205
Money Guy Show,The #1 Mistake That’s Destroying Your Wealth Potential!,https://www.youtube.com/shorts/Pk494Ik-W_k,4232,172
Pranjal Kamra,"If you’re attracted to #Bitcoin & #crypto investments, you should listen to #WarrenBuffett. #shorts",https://www.youtube.com/shorts/gfU86z76lwk,4014,179
Money Guy Show,Why Real Estate Isn't as Easy as They Say 🧐,https://www.youtube.com/shorts/_dFGnmX5gRQ,3951,119
Steph and Den,"We invested $50,000 this year 🤑 #shorts",https://www.youtube.com/shorts/Ckp1TpmKTjQ,3931,222
The Finance Engineer,3 Millionaire Habits #shorts #finance,https://www.youtube.com/shorts/FHnLk5IuPRo,3843,394
Erin Talks Money,Should You Buy A Home in a Frozen Housing Market? What About Interest Rates?,https://www.youtube.com/shorts/84xgTVsULks,3648,185
Pranjal Kamra,#Tips are hazardous to health- Late #RakeshJhunjhunwala.#shorts #ytshorts #stockmarket #investing.,https://www.youtube.com/shorts/VMsKtKSi1Ig,3324,171
Steph and Den,My 2024 Money Wrapped 👀💰 #shorts,https://www.youtube.com/shorts/ZkoBvpYy2ew,3003,193
Erin Talks Money,Retire With Purpose: Use Your Money to Build Your Dream Life,https://www.youtube.com/shorts/j2otfdeFQT8,2866,180
Legacy Investing Show,Why We Won’t Kick Our Kids Out At 18!,https://www.youtube.com/shorts/eg9Z1T_6I9g,2508,179
Steph and Den,Simple Investing (For Canadians) is here! 🇨🇦 #shorts,https://www.youtube.com/shorts/FXmezecxchQ,2326,103
Erin Talks Money,The Hidden Cost of Working Parents: Is Childcare Pushing Families Into Debt?,https://www.youtube.com/shorts/vAmZt-CTNPw,2095,100
Erika2,You don’t need millions for happiness — the sweet spot might be low six figures. #shorts,https://www.youtube.com/shorts/k5gWocHg8Jc,2093,27
Erin Talks Money,Should Social Security Be Taxes? Is it Fair?,https://www.youtube.com/shorts/D_OVk0zuyUo,2060,126
Pranjal Kamra,Did you invest in MRF ever? #shorts #investing #MRF,https://www.youtube.com/shorts/1_-F4QX8JUg,1764,44
Pranjal Kamra,Yet another benefit of investing!  #shorts #ytshorts #charliemunger #investing,https://www.youtube.com/shorts/WzhGg8-uCrM,1655,65
Pranjal Kamra,"Chase the story behind a stock, not money on the table:  #VijayKedia. #Shorts #ytshorts #investment",https://www.youtube.com/shorts/JsRMN7gKOtI,1630,67
Daniel Iles,Stop posting. Start listening,https://www.youtube.com/shorts/ldy8ufjgPGg,1586,69
Erin Talks Money,Social Security Spousal Benefits Explained: The Permanent Impact of Claiming Early,https://www.youtube.com/shorts/S36hHPsJ0qc,1585,97
Erika2,Life is going to be challenging at times according to Mark Manson. #shorts,https://www.youtube.com/shorts/9ik4nPFhkIg,1472,34
Legacy Investing Show,3 Step Checklist For A Big Save When Buying Land 🏡,https://www.youtube.com/shorts/CLDZDWOyh5Q,1421,131
Pranjal Kamra,Did you invest in Indigo Airlines? #shorts #ytshorts #IndigoAirlines #investing #stockmarket,https://www.youtube.com/shorts/94My3_X5P6E,1263,43
Erika2,A moderate amount of dissatisfaction in our lives is highly adaptable. #shorts,https://www.youtube.com/shorts/K1FxuyHFMQs,1133,35
Money Guy Show,When Education Becomes a Financial Burden,https://www.youtube.com/shorts/HS5UfAldZyo,1125,46
Daniel Iles,These employees are worth the investment,https://www.youtube.com/shorts/cDibuCmGiZY,930,73
Erika2,A bit of imposter syndrome can be healthy according to Mark Manson. #shorts,https://www.youtube.com/shorts/QSxsSu-QH9k,918,34
Daniel Iles,"Look at what they do, not what they say",https://www.youtube.com/shorts/_6XCtyNN0es,870,61
Pranjal Kamra,Here's why late #RakeshJhunjhunwala said that the #MutualFund is best investment. #investing #shorts,https://www.youtube.com/shorts/jOCK67ru6hg,807,38
Daniel Iles,You will never compete on more.,https://www.youtube.com/shorts/s3nqIH-x9i8,777,34
Daniel Iles,Accounting saved my business,https://www.youtube.com/shorts/tBrLfqsjVog,718,79
Daniel Iles,The only time clickbait works for business,https://www.youtube.com/shorts/o8lCIcIhVho,598,39
Daniel Iles,"Hook them fast, or lose them forever",https://www.youtube.com/shorts/rP_U3fp-Upo,559,51
Finance with Sharan,2024 Finance Recap in 6 Minutes,https://www.youtube.com/shorts/NyElMhrmXpo,547,22
Parallel Wealth,2025 Tax Changes You Need To Know If You Are Working,https://www.youtube.com/shorts/mQg8kGnQ8E8,544,8
Steph and Den,My Money Plan for 2025 💸✨ #shorts,https://www.youtube.com/shorts/vpuLXZ0FyD8,526,62
Parallel Wealth,25% Trump Tariff | Impact on Exchange Rate Risk,https://www.youtube.com/shorts/uT-WJqfql4o,525,11
Daniel Iles,Why I hire for culture fit (under 30 employees),https://www.youtube.com/shorts/9ScwbZdBDDU,524,31
Daniel Iles,Think like the algorithm,https://www.youtube.com/shorts/cYyOf_dckMc,455,40
Parallel Wealth,Top 3 Channels to Watch | Economic Impact on CPP,https://www.youtube.com/shorts/6KddZt3ZwkA,191,6
Daniel Iles,How to start a massive business… Do it for free,https://www.youtube.com/shorts/CT9-bHL8AvE,177,27
Parallel Wealth,Free Money? This May Hit Your Bank Account Soon.,https://www.youtube.com/shorts/ztXHn-fPpEI,160,5
